2011-1-02,8:00PM,-3.0,-8.7,-9.0,64%,1031,-,NNE,18.0,-,N/A,&#xA0;,Clear
2011-1-02,9:00PM,-3.0,-8.7,-9.0,64%,1031,-,NNE,18.0,-,N/A,&#xA0;,Clear
2011-1-02,10:00PM,-4.0,-9.9,-9.0,69%,1031,-,North,18.0,-,N/A,&#xA0;,Clear
2011-1-02,11:00PM,-5.0,-10.4,-10.0,68%,1032,-,North,14.4,-,N/A,&#xA0;,Clear
2011-1-03,12:00AM,-6.0,-11.6,-10.0,74%,1031,-,North,14.4,-,N/A,&#xA0;,Clear
2011-1-03,1:00AM,-5.0,-9.5,-9.0,74%,1031,10.0,NNW,10.8,-,N/A,&#xA0;,ScatteredClouds
2011-1-03,2:00AM,-5.0,-9.5,-9.0,74%,1031,10.0,NW,10.8,-,N/A,&#xA0;,ScatteredClouds
2011-1-03,3:00AM,-5.0,-8.3,-9.0,74%,1031,-,NW,7.2,-,N/A,&#xA0;,Clear
2011-1-03,4:00AM,-5.0,-10.4,-9.0,74%,1030,-,North,14.4,-,N/A,&#xA0;,Clear
2011-1-03,5:00AM,-7.0,-10.6,-10.0,80%,1030,-,NNW,7.2,-,N/A,&#xA0;,Clear
2011-1-03,6:00AM,-7.0,-10.6,-10.0,80%,1030,-,NNW,7.2,-,N/A,&#xA0;,Clear
2011-1-03,7:00AM,-7.0,-11.9,-10.0,80%,1030,-,NNW,10.8,-,N/A,&#xA0;,Clear
2011-1-03,8:00AM,-5.0,-9.5,-8.0,80%,1030,10.0,NNW,10.8,-,N/A,&#xA0;,MostlyCloudy
2011-1-03,9:00AM,-4.0,-8.3,-7.0,80%,1030,4.0,NW,10.8,-,N/A,Snow,LightSnow
2011-1-03,10:00AM,-3.0,-8.0,-7.0,74%,1031,7.0,NW,14.4,-,N/A,&#xA0;,ScatteredClouds
2011-1-03,11:00AM,-2.0,-7.4,-7.0,69%,1030,10.0,NW,18.0,-,N/A,&#xA0;,ScatteredClouds
2011-1-03,12:00PM,-1.0,-6.2,-8.0,60%,1029,10.0,NNW,18.0,-,N/A,&#xA0;,MostlyCloudy
2011-1-03,1:00PM,-1.0,-6.2,-7.0,64%,1029,10.0,NW,18.0,-,N/A,Snow,LightSnow
2011-1-03,2:00PM,-1.0,-6.7,-8.0,60%,1028,10.0,NNW,21.6,-,N/A,Snow,LightSnow
2011-1-03,3:00PM,0.0,-5.9,-9.0,51%,1028,10.0,NW,25.2,-,N/A,Snow,LightSnow
2011-1-03,4:00PM,-2.0,-8.0,-9.0,59%,1028,10.0,NNW,21.6,-,N/A,&#xA0;,MostlyCloudy
2011-1-03,5:00PM,-3.0,-9.3,-10.0,59%,1029,10.0,North,21.6,-,N/A,&#xA0;,PartlyCloudy
2011-1-03,6:00PM,-6.0,-10.7,-10.0,74%,1029,10.0,NNW,10.8,-,N/A,&#xA0;,ScatteredClouds
2011-1-03,7:00PM,-6.0,-10.7,-11.0,68%,1030,-,NNW,10.8,-,N/A,&#xA0;,Clear
2011-1-03,8:00PM,-8.0,-14.1,-12.0,73%,1029,-,NNW,14.4,-,N/A,&#xA0;,Clear
2011-1-03,9:00PM,-8.0,-13.1,-11.0,79%,1030,-,NNW,10.8,-,N/A,&#xA0;,Clear
2011-1-03,10:00PM,-8.0,-14.1,-11.0,79%,1029,-,North,14.4,-,N/A,&#xA0;,Clear
2011-1-03,11:00PM,-7.0,-,-11.0,74%,1029,-,NNW,3.6,-,N/A,&#xA0;,Clear
2011-1-04,12:00AM,-9.0,-,-12.0,79%,1029,7.0,West,3.6,-,N/A,&#xA0;,Clear
2011-1-04,1:00AM,-7.0,-10.6,-10.0,80%,1029,7.0,NW,7.2,-,N/A,&#xA0;,Clear
2011-1-04,2:00AM,-9.0,-,-11.0,86%,1029,7.0,Variable,3.6,-,N/A,&#xA0;,Clear
2011-1-04,3:00AM,-9.0,-,-12.0,79%,1029,6.0,Calm,Calm,-,N/A,&#xA0;,Clear
2011-1-04,4:00AM,-10.0,-,-12.0,86%,1028,6.0,Variable,3.6,-,N/A,&#xA0;,Clear
2011-1-04,5:00AM,-10.0,-,-12.0,86%,1028,5.0,East,3.6,-,N/A,&#xA0;,Clear
2011-1-04,6:00AM,-10.0,-,-12.0,86%,1028,5.0,ENE,3.6,-,N/A,&#xA0;,Clear
2011-1-04,7:00AM,-10.0,-,-12.0,86%,1029,3.0,Calm,Calm,-,N/A,&#xA0;,Clear
2011-1-04,8:00AM,-9.0,-,-11.0,86%,1029,3.0,North,3.6,-,N/A,&#xA0;,Clear
2011-1-04,9:00AM,-6.0,-,-10.0,74%,1029,2.0,Variable,3.6,-,N/A,&#xA0;,Clear
2011-1-04,10:00AM,-4.0,-7.1,-9.0,69%,1029,2.5,North,7.2,-,N/A,&#xA0;,Smoke
2011-1-04,11:00AM,-1.0,-4.7,-10.0,51%,1028,3.0,NW,10.8,-,N/A,&#xA0;,Smoke
2011-1-04,12:00PM,0.0,-5.4,-13.0,38%,1026,6.0,North,21.6,-,N/A,&#xA0;,Clear
2011-1-04,1:00PM,2.0,-1.8,-13.0,33%,1026,8.0,NNW,14.4,-,N/A,&#xA0;,Clear
2011-1-04,2:00PM,2.0,-1.8,-14.0,30%,1025,-,WNW,14.4,-,N/A,&#xA0;,Clear
2011-1-04,3:00PM,2.0,-1.1,-14.0,30%,1025,8.0,NW,10.8,-,N/A,&#xA0;,Clear
2011-1-04,4:00PM,2.0,-1.1,-14.0,30%,1025,7.0,WNW,10.8,-,N/A,&#xA0;,Clear
2011-1-04,5:00PM,0.0,-2.5,-14.0,35%,1025,5.0,WNW,7.2,-,N/A,&#xA0;,Smoke
2011-1-04,6:00PM,-2.0,-,-13.0,43%,1026,4.0,Variable,3.6,-,N/A,&#xA0;,Smoke
2011-1-04,7:00PM,-2.0,-,-12.0,47%,1026,4.5,Variable,3.6,-,N/A,&#xA0;,Smoke
2011-1-04,8:00PM,-3.0,-,-12.0,51%,1026,-,Variable,3.6,-,N/A,&#xA0;,Smoke
2011-1-04,9:00PM,-2.0,-,-10.0,55%,1026,2.8,ENE,3.6,-,N/A,&#xA0;,Smoke
2011-1-04,10:00PM,-2.0,-4.8,-11.0,51%,1026,3.0,NE,7.2,-,N/A,&#xA0;,Smoke
2011-1-04,11:00PM,-2.0,-,-11.0,51%,1026,4.0,NE,3.6,-,N/A,&#xA0;,Smoke
2011-1-05,12:00AM,-2.0,-4.8,-10.0,55%,1026,3.0,West,7.2,-,N/A,&#xA0;,Smoke
2011-1-05,1:00AM,-4.0,-,-11.0,59%,1026,3.0,Calm,Calm,-,N/A,&#xA0;,Smoke
2011-1-05,2:00AM,-5.0,-,-11.0,63%,1026,3.0,SSE,3.6,-,N/A,&#xA0;,Smoke
2011-1-05,3:00AM,-7.0,-,-11.0,74%,1025,3.0,NE,3.6,-,N/A,&#xA0;,Smoke
